id,testing_url - Copy.2,variant_name
0076c7e50df3caa94a3c9dbff8a94dfe,gbxxJoq4GqJcnLw,Super Silver Haze
0f86de4ee2138eb370d3b6c830e9d55e,L4As3WZDmB5H5y3,Daywrecker
183bf630217b6a945bd1d1c5121eeb24,WQiipC7sQpiyojx,Strawguava
1af359384e0d167779b9486375dcb893,czKcWBWzTDyCPdT,Chem D
1cb11466fd0936ca6ee0e35c5fe17f92,8K4kMmg8nsTGFxt,Indica
24b12c3735c38b4460f639786cb2be7f,3qmgeWwcKYRrawa,Daywrecker
2b0f391038da509f1eb146d0c797a23a,fmNHWqZYycqDAgd,Too Much Nerdz
35b80b39c136b77828fec0dcc3ed76b1,n75eWwYNjSbYEqJ,Garlic Drip
35d3ec3ec041235126efcbbe71c0d613,DGCc8Jw2HGRKzNx,Apples and Bananas
39291a02ec749a2750cdf8b7a0bcb8c0,g47exX3f769D7Np,Fat Albert
3b16eb7e5e447eed58723f8a49bb67ed,6z63Dpn43BwkggY,Rose Especial
43118aeea3db5f73c50ce70c58fd12a5,QpgabPXJzZM7StD,Soap
4496524fcbb02748ce46c7cb389f0c0d,iTCbmGmZEW2KYFw,Dulce De Uva
48fd251798b50c7318e580bedefe76e4,rqrTmqqezwBGipR,Animal Tsunami
49379afd9de1288d1f0c0b4b57ac3ca9,SrGCCkbd2AobjjY,Choka-Cola
4ea33e6746cdeef7dfd552f6eeac5bef,n4MkEi4Afr5bLZZ,Ice Cream Cake
5240d546db474fcbd94d7f262b97bbce,g852X8ybqn7w2pL,Banana OG
5d43edac6035b37d957c47ac0634e2f3,dB6rS35dyT8pKkS,Garlic Drip
5faba1f2f27ddb15d35bb88e775c2087,wErCYb5e5NDYAqP,Ice Cream Cake
65182b38f42783a228475119a7809caa,QCcQmpq5e7cF3zW,Hybrid
6a01062fe09b7315f9a2bd30c71d4db1,DNkcJ3BkcEiSg2b,Strawguava
7536b32602c5d7b5f823ecde9aa6dc2a,g5qoTkEgdrT75wj,Super Boof
81409f7b6d15477769864a60bec6f7d4,33k3sMwNY5TKXTg,OG Kush
81a643236aee50ff00581e6e24e3e5d2,Ay2ZkZyeQNDjyfa,Banana Punch
99b6855539a4ab5f4098671499c0ab6c,nP7REAQ5aQ4RYW2,Eastside Moonwalker
ac446292565f9c99ff5f4d6d1a042383,6DMQwXFGMqs8zX5,Animal Mintz
be9dc72d2536213039f2bbaa7c81d7e6,bRRiF8TxnFb7E7A,Sativa
c0b73bc57d9df2caf6c466693e0ac25e,cZLTKTn3yTTJe7P,Choka-Cola
d71709f78fc1030bece26f59496e7748,eWDcrrGNLEmzbs9,Blue Zushi
dadc6bdb1bc118e1ecf683283ca0e9f4,meg9ZNWmCGESgsC,Petrol Station
e298e77cd308e7a22cc9199ee95b4aeb,dnyP2drMTRyw87E,Bubble Bath
e7b4f0ce7b3da455f953a745829e72f6,pHX6bxL7C5yFWme,Pomelo Punch
f327760e2b7f002dc1a095ad4c6469f9,8Dp8nq5QiTbAzrC,Dulce De Uva
f4a3293d9c4e0fb3c8212646023d04b7,gZYK5idR4KdJqma,Eastside Moonwalker
